EntrezID	GeneSymbol	RNAseq-EryP-Rep1	RNAseq-EryP-Rep2	RNAseq-EryP-Rep3	RNAseq-EryD-Rep1	RNAseq-EryD-Rep2	RNAseq-EryD-Rep3
76987	Hdhd2	4.649418173	4.664123681	4.711013869	4.240626447	4.394747526	4.522147973
76992	1700066J24Rik	0.593243493	0.615718588	0.892207499	0.254847487	0	0.603822093
76998	Fbxw27	0	0.180250055	0.085620241	0	0.440115989	0.103327367
77006	Ddrgk1	5.563333747	5.410105006	5.202821057	5.126827766	5.228959923	5.177664674
77011	Ticrr	5.343760476	5.421349263	5.10625137	6.320013791	6.238283363	6.090014528
77015	Mpped2	0	0.180250055	0.166442556	0.090044751	0.375468954	0.45548218
77017	E130018N17Rik	0.531124746	0.262577947	0.242976257	0.330687802	0.083318543	0.199746348
77018	Col25a1	0.251856015	0.551669477	0.574489846	0.090044751	0.375468954	0.531557862
77022	2700099C18Rik	2.605576535	2.777268499	2.497467384	3.834616065	3.58480177	3.695321408
77031	Slc9a8	5.39043009	5.493441294	5.240642403	5.544172162	5.431343265	5.637525362
77032	Tstd3	3.522381	3.421540948	3.889328465	4.269819271	4.18441483	4.354242667
77034	2510039O18Rik	5.900801741	5.780416277	5.987044976	5.713095191	5.906328206	5.757222426
77035	Kdm8	4.152584556	4.12944394	4.473586624	4.122905897	4.121746213	4.026368984
77036	1700109H08Rik	1.057172063	1.045891697	0.84387938	1.348049253	1.445787484	1.786676137
77037	Mrap	4.866198088	5.050453051	5.26378694	5.756709384	5.755725948	5.611470229
77038	Arfgap2	6.359788753	6.375803678	6.512692499	6.782657807	6.841377784	6.812142745
77040	Atg16l1	4.162862827	4.265436558	4.287367836	4.772989273	4.668735695	4.804884695
77041	Arsk	2.928323097	2.734636145	2.9946519	2.980234156	2.80831823	2.884665446
77042	Hyal4	0	0	0.166442556	0	0.236776323	0
77044	Arid2	6.020085027	6.040236805	6.060255755	6.948307474	6.887746541	6.815950666
77045	Bcl7a	4.14741783	4.361964687	4.554646329	5.204476535	5.341122402	5.073357981
77048	Ccdc41	5.073810725	5.059117417	5.080412362	5.263720224	5.32623422	5.156797521
77053	Sun1	5.520013908	5.452374799	5.322280624	6.419973717	6.174401933	6.23500809
77055	Krt76	0.088927651	0.615718588	0.166442556	0	0.307788639	0.199746348
77056	Tmco4	1.660699288	1.136009122	1.152428102	1.487120779	1.781377158	1.476100084
77057	Ston1	0.652797613	0.340460315	0.984262371	0.402739632	0.236776323	0.801143797
77058	4921530D09Rik	0.326902392	0.180250055	0.315653629	0.090044751	0.162086862	0.199746348
77059	4931408D14Rik	0.251856015	0	0.166442556	0.090044751	0.375468954	0.103327367
77065	Ints7	5.808892218	5.727044804	5.895173254	6.309508915	6.324287181	6.110313216
77080	9230110F15Rik	0	0	0.085620241	0	0	0.103327367
77087	Ankrd11	6.190523725	6.046059835	6.240228361	7.342213466	7.337700736	7.352094864
77090	Ocel1	2.52818374	2.338837382	2.383752821	3.071482595	2.611855093	2.715589297
77097	Tanc2	5.327862308	5.295009378	5.016442579	3.754269749	3.377603113	3.462511463
77106	Tmem181a	2.286390139	2.300377863	2.433589005	2.203695801	2.494997742	2.560808251
77110	Gpbp1l1	5.877587588	5.771657021	5.7954634	6.198761274	6.188582957	6.179929422
77113	Klhl2	3.171686606	3.113052824	3.555977755	2.183383592	1.923816627	2.093195412
77116	Mtmr2	4.95167482	5.012294271	5.173789812	4.689032497	4.596122413	4.680909654
77117	Zfp934	2.789286492	2.483175739	2.433589005	3.396662791	3.708055142	3.382601145
77119	7630403G23Rik	0	0.180250055	0.315653629	0.090044751	0.162086862	0.290123112
77124	9130221H12Rik	5.446195154	5.443578234	5.49064801	6.239911702	6.192106539	6.288061084
77125	Il33	0.398237264	0.180250055	0	0.536870919	0.162086862	0.199746348
77127	A930001A20Rik	0	0.092938249	0.085620241	0.254847487	0	0.45548218
77128	Crebrf	2.323513636	2.412810899	2.481760985	3.563126083	3.044948788	3.264955491
77132	2810433D01Rik	0.088927651	0.092938249	0.38484472	0.17479807	0	0.199746348
77134	Hnrnpa0	8.294041285	8.252768791	8.68738802	8.521167761	8.710836225	8.702919652
77166	8030423J24Rik	0.088927651	0	0.242976257	0	0	0
77173	8030443G20Rik	0.172690617	0	0.166442556	0.090044751	0.162086862	0.290123112
77215	Krtap5-3	0	0	0.085620241	0.090044751	0.440115989	0.603822093
77219	Ptgr2	5.029563698	4.935947996	5.075188558	5.318299928	5.380775417	5.432056794
77220	Tmem200a	0.251856015	0.735869851	0.166442556	0.402739632	0.307788639	0.531557862
77248	9430014N10Rik	0.172690617	0.092938249	0	0.17479807	0.236776323	0
77252	9430038I01Rik	2.063146275	2.357689379	2.184706601	1.730537868	1.623318217	1.622438322
77254	Yif1b	4.242554673	4.134918478	4.269183598	3.351862559	3.361003078	3.814312943
77264	Zfp142	3.270048889	3.250527575	3.200579008	4.170120918	4.04588264	3.917160475
77269	9430019J16Rik	0	0.092938249	0.085620241	0	0	0
